Employee_ID,Employee_Name,Department,Role,Date,Status,Check_In,Check_Out,Late,Overtime_Hours,Salary,Work_Location,Productivity_Score,Engagement_Score,Pending_Tasks
E002,Employee_2,IT,Intern,2025-11-19,Present,10:56:00,17:31:00,1,2.15,4956.9,Work from Home,0.56,0.84,4
E043,Employee_43,IT,Staff,2025-09-06,Present,10:03:00,17:38:00,0,0.28,1616.24,Office,0.66,0.36,4
E005,Employee_5,Operations,Team Lead,2025-10-23,Present,10:37:00,17:12:00,0,0.45,2045.65,Office,0.17,0.94,5
E024,Employee_24,HR,Intern,2025-01-02,Present,10:48:00,18:44:00,1,1.51,2955.83,Office,0.68,0.9,5
E004,Employee_4,IT,Staff,2025-12-11,Present,09:14:00,17:59:00,0,1.54,4811.07,Work from Home,0.73,0.49,9
E026,Employee_26,IT,Intern,2025-04-29,Present,10:22:00,17:25:00,1,0.02,1779.68,Work from Home,0.77,0.68,3
E040,Employee_40,IT,Staff,2025-01-26,Present,09:04:00,17:13:00,0,2.59,4615.01,Work from Home,0.52,0.87,8
E043,Employee_43,Sales,Team Lead,2025-01-16,Present,09:56:00,18:13:00,1,0.81,1497.05,Office,0.13,0.54,9
E038,Employee_38,Sales,Intern,2025-05-10,Present,10:17:00,18:53:00,0,1.47,3260.34,Work from Home,0.13,0.71,6
E025,Employee_25,IT,Team Lead,2025-10-10,Present,10:23:00,18:09:00,0,2.59,2520.54,Work from Home,0.73,0.11,3
E006,Employee_6,Finance,Intern,2025-02-26,Present,10:24:00,18:00:00,0,1.28,2112.77,Office,0.43,0.52,1
E040,Employee_40,Sales,Team Lead,2025-08-12,Present,09:06:00,18:05:00,1,0.39,3908.35,Work from Home,0.69,0.04,7
E037,Employee_37,Operations,Intern,2025-08-04,Present,09:02:00,17:16:00,0,1.01,4183.53,Work from Home,0.11,0.76,1
E040,Employee_40,HR,Intern,2025-05-02,Present,10:21:00,18:25:00,0,2.85,2202.36,Office,0.9,0.29,8
E026,Employee_26,HR,Staff,2025-11-09,Present,10:12:00,18:35:00,0,1.31,4985.28,Work from Home,0.13,0.4,7
E036,Employee_36,IT,Staff,2025-02-17,Present,10:33:00,18:16:00,0,2.73,2910.04,Work from Home,0.12,0.11,7
E020,Employee_20,Operations,Team Lead,2025-06-27,Present,09:07:00,18:25:00,0,1.22,3244.33,Work from Home,0.37,0.57,9
E017,Employee_17,Sales,Team Lead,2025-04-18,Present,09:14:00,17:42:00,0,0.61,2215.71,Work from Home,0.47,0.61,6
E048,Employee_48,IT,Intern,2025-12-20,Present,10:05:00,18:15:00,0,0.93,1015.74,Office,0.42,0.3,5
E029,Employee_29,HR,Staff,2025-05-14,Absent,,,0,0.0,2578.95,Work from Home,0.66,0.59,2
E002,Employee_2,IT,Manager,2025-05-26,Present,10:20:00,17:25:00,0,1.75,4632.97,Work from Home,0.2,0.89,9
E018,Employee_18,HR,Intern,2025-10-14,Present,10:46:00,18:11:00,0,1.0,1041.37,Work from Home,0.89,0.92,3
E041,Employee_41,Operations,Staff,2025-09-17,Absent,,,0,0.0,1311.26,Work from Home,0.03,0.74,3
E003,Employee_3,IT,Staff,2025-08-21,Absent,,,0,0.0,4847.64,Office,0.41,0.12,1
E027,Employee_27,Operations,Team Lead,2025-06-01,Present,09:10:00,17:11:00,0,2.66,2714.87,Office,0.84,0.34,3
